laboratorio,versao,family_name,family_design,family_clinical_category,offer_id,raw_label,canonical_label,offer_clinical_category,material,indice_refracao,is_atomic_offer,already_includes_treatment,allows_composition,base_price,source_page_reference,treatment_name,treatment_type,price_mode,special_price,final_price,sph_min,sph_max,cyl_min,cyl_max,add_min,add_max,section_name,subsection_name
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,f0fcbfe4-3df4-456a-b8a3-89ab8b4da4ab,1.50,iTop Visão Simples - Blocos 1.50,visao_simples,Resina,1.50,false,false,true,998.00,Pagina 40,Vert Clair,Antirreflexo,final,1300.00,1300.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,8d4f1236-7720-4dc9-bd78-59ac4b24492b,1.50 + Sun Light Photo,iTop Visão Simples - Blocos 1.50 + Sun Light Photo,visao_simples,Resina,1.50,false,false,true,1210.00,Pagina 40,Trio Easy Clean,Antirreflexo,final,1293.00,1293.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,8d4f1236-7720-4dc9-bd78-59ac4b24492b,1.50 + Sun Light Photo,iTop Visão Simples - Blocos 1.50 + Sun Light Photo,visao_simples,Resina,1.50,false,false,true,1210.00,Pagina 40,Verniz Hc,Revestimento,final,1210.00,1210.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,8d4f1236-7720-4dc9-bd78-59ac4b24492b,1.50 + Sun Light Photo,iTop Visão Simples - Blocos 1.50 + Sun Light Photo,visao_simples,Resina,1.50,false,false,true,1210.00,Pagina 40,Vert Clair,Antirreflexo,final,1513.00,1513.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,a044ffa3-17dd-40cc-941e-5e8bc01cc7a7,1.50 + Transitions Gen S,iTop Visão Simples - Blocos 1.50 + Transitions Gen S,visao_simples,Resina,1.50,false,false,true,2278.00,Pagina 40,Trio Easy Clean,Antirreflexo,final,2361.00,2361.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,a044ffa3-17dd-40cc-941e-5e8bc01cc7a7,1.50 + Transitions Gen S,iTop Visão Simples - Blocos 1.50 + Transitions Gen S,visao_simples,Resina,1.50,false,false,true,2278.00,Pagina 40,Verniz Hc,Revestimento,final,2278.00,2278.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,a044ffa3-17dd-40cc-941e-5e8bc01cc7a7,1.50 + Transitions Gen S,iTop Visão Simples - Blocos 1.50 + Transitions Gen S,visao_simples,Resina,1.50,false,false,true,2278.00,Pagina 40,Vert Clair,Antirreflexo,final,2581.00,2581.00,-9.00,6.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,13fbe351-f95a-4196-8cd2-4de484c7323b,1.50 iTop Sun Light Protection Photo,iTop Visão Simples - Blocos 1.50 iTop Sun Light Protection Photo,visao_simples,Resina,1.50,false,false,true,925.00,Pagina 40,Trio Easy Clean,Antirreflexo,final,1006.00,1006.00,-10.00,10.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,13fbe351-f95a-4196-8cd2-4de484c7323b,1.50 iTop Sun Light Protection Photo,iTop Visão Simples - Blocos 1.50 iTop Sun Light Protection Photo,visao_simples,Resina,1.50,false,false,true,925.00,Pagina 40,Verniz Hc,Revestimento,final,925.00,925.00,-10.00,10.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,13fbe351-f95a-4196-8cd2-4de484c7323b,1.50 iTop Sun Light Protection Photo,iTop Visão Simples - Blocos 1.50 iTop Sun Light Protection Photo,visao_simples,Resina,1.50,false,false,true,925.00,Pagina 40,Vert Clair,Antirreflexo,final,1226.00,1226.00,-10.00,10.00,0.00,0.00,0.50,5.00,null,null
