family_name,raw_label,canonical_label,material,indice_refracao,base_price,compatible_treatments,source_page_reference,confidence_level
VARILUX® Physio® Extensee,Orma,VARILUX® Physio® Extensee Orma,Resina,,3549.0,"Crizal Easy Pro=3819.0, Optifog=3819.0, Verniz Hc=3549.0",Pagina 15,0.86
VARILUX® Physio® Extensee,Orma,VARILUX® Physio® Extensee Orma,Resina,,2979.0,Crizal Easy Pro=2979.0,Pagina 15,0.78
VARILUX® Physio® Extensee,Orma + Blue UV Filter,VARILUX® Physio® Extensee Orma + Blue UV Filter,Resina,,3719.0,"Crizal Easy Pro=3989.0, Optifog=3989.0, Verniz Hc=3719.0",Pagina 15,0.86
VARILUX® Physio® Extensee,Orma + Coloração especial,VARILUX® Physio® Extensee Orma + Coloração especial,Resina,,3089.0,Crizal Easy Pro=3089.0,Pagina 15,0.78
VARILUX® Physio® Extensee,Orma + Transitions Gen S,VARILUX® Physio® Extensee Orma + Transitions Gen S,Resina,,4649.0,"Crizal Easy Pro=4919.0, Optifog=4919.0, Verniz Hc=4649.0",Pagina 15,0.86
VARILUX® Physio® Extensee,Stylis 1.67,VARILUX® Physio® Extensee Stylis 1.67,Resina High Index,1.67,5839.0,"Crizal Easy Pro=6109.0, Optifog=6109.0, Verniz Hc=5839.0",Pagina 15,0.86
VARILUX® Physio® Extensee,Stylis 1.67 + Transitions Gen S,VARILUX® Physio® Extensee Stylis 1.67 + Transitions Gen S,Resina High Index,1.67,6939.0,"Crizal Easy Pro=7209.0, Optifog=7209.0, Verniz Hc=6939.0",Pagina 15,0.86
VARILUX® Physio® Extensee,Stylis 1.74,VARILUX® Physio® Extensee Stylis 1.74,Resina High Index,1.74,7449.0,Optifog=7449.0,Pagina 15,0.86
VARILUX® Physio® Extensee,Airwear,VARILUX® Physio® Extensee Airwear,Policarbonato,,3459.0,"Crizal Easy Pro=3729.0, Optifog=3729.0, Verniz Hc=3459.0",Pagina 16,0.86
VARILUX® Physio® Extensee,Airwear,VARILUX® Physio® Extensee Airwear,Policarbonato,,2889.0,Crizal Easy Pro=2889.0,Pagina 16,0.78
VARILUX® Physio® Extensee,Airwear + Transitions Extractive,VARILUX® Physio® Extensee Airwear + Transitions Extractive,Policarbonato,,4589.0,"Crizal Easy Pro=4859.0, Optifog=4859.0, Verniz Hc=4589.0",Pagina 16,0.86
VARILUX® Physio® Extensee,Airwear + Transitions Gen S,VARILUX® Physio® Extensee Airwear + Transitions Gen S,Policarbonato,,4559.0,"Crizal Easy Pro=4829.0, Optifog=4829.0, Verniz Hc=4559.0",Pagina 16,0.86
VARILUX® Physio® Extensee,Orma,VARILUX® Physio® Extensee Orma,Resina,,3159.0,"Crizal Easy Pro=3429.0, Optifog=3429.0, Verniz Hc=3159.0",Pagina 16,0.86
VARILUX® Physio® Extensee,Orma,VARILUX® Physio® Extensee Orma,Resina,,2589.0,Crizal Easy Pro=2589.0,Pagina 16,0.78
VARILUX® Physio® Extensee,Orma + Blue UV Filter,VARILUX® Physio® Extensee Orma + Blue UV Filter,Resina,,3329.0,"Crizal Easy Pro=3599.0, Optifog=3599.0, Verniz Hc=3329.0",Pagina 16,0.86
VARILUX® Physio® Extensee,Orma + Coloração especial,VARILUX® Physio® Extensee Orma + Coloração especial,Resina,,2699.0,Crizal Easy Pro=2699.0,Pagina 16,0.78
VARILUX® Physio® Extensee,Orma + Transitions Gen S,VARILUX® Physio® Extensee Orma + Transitions Gen S,Resina,,4259.0,"Crizal Easy Pro=4529.0, Optifog=4529.0, Verniz Hc=4259.0",Pagina 16,0.86
VARILUX® Physio® Extensee,Stylis 1.67,VARILUX® Physio® Extensee Stylis 1.67,Resina High Index,1.67,5449.0,"Crizal Easy Pro=5719.0, Optifog=5719.0, Verniz Hc=5449.0",Pagina 16,0.86
VARILUX® Physio® Extensee,Stylis 1.67 + Transitions Gen S,VARILUX® Physio® Extensee Stylis 1.67 + Transitions Gen S,Resina High Index,1.67,6549.0,"Crizal Easy Pro=6819.0, Optifog=6819.0, Verniz Hc=6549.0",Pagina 16,0.86
VARILUX® Physio® Extensee,Stylis 1.74,VARILUX® Physio® Extensee Stylis 1.74,Resina High Index,1.74,7059.0,Optifog=7059.0,Pagina 16,0.86
VARILUX® COMFORT,Airwear,VARILUX® COMFORT DIGITAL Airwear,Policarbonato,,2199.0,"Crizal Easy Pro=2819.0, Optifog=2819.0, Trio Easy Clean=2549.0, Verniz Hc=2199.0",Pagina 17,0.86
VARILUX® COMFORT,Airwear + Transitions Extractive,VARILUX® COMFORT DIGITAL Airwear + Transitions Extractive,Policarbonato,,3329.0,"Crizal Easy Pro=3949.0, Optifog=3949.0, Trio Easy Clean=3679.0, Verniz Hc=3329.0",Pagina 17,0.86
VARILUX® COMFORT,Airwear + Transitions Gen S,VARILUX® COMFORT DIGITAL Airwear + Transitions Gen S,Policarbonato,,3299.0,"Crizal Easy Pro=3919.0, Optifog=3919.0, Trio Easy Clean=3649.0, Verniz Hc=3299.0",Pagina 17,0.86
VARILUX® COMFORT,Orma,VARILUX® COMFORT DIGITAL Orma,Resina,,1899.0,"Crizal Easy Pro=2519.0, Optifog=2519.0, Trio Easy Clean=2249.0, Verniz Hc=1899.0",Pagina 17,0.86
VARILUX® COMFORT,Orma + Blue UV Filter,VARILUX® COMFORT DIGITAL Orma + Blue UV Filter,Resina,,2069.0,"Crizal Easy Pro=2689.0, Optifog=2689.0, Trio Easy Clean=2419.0, Verniz Hc=2069.0",Pagina 17,0.86
VARILUX® COMFORT,Orma + Transitions Extractive,VARILUX® COMFORT DIGITAL Orma + Transitions Extractive,Resina,,3029.0,"Crizal Easy Pro=3649.0, Optifog=3649.0, Trio Easy Clean=3379.0, Verniz Hc=3029.0",Pagina 17,0.86
VARILUX® COMFORT,Orma + Transitions Gen S,VARILUX® COMFORT DIGITAL Orma + Transitions Gen S,Resina,,2999.0,"Crizal Easy Pro=3619.0, Optifog=3619.0, Trio Easy Clean=3349.0, Verniz Hc=2999.0",Pagina 17,0.86
VARILUX® COMFORT,Stylis 1.67,VARILUX® COMFORT DIGITAL Stylis 1.67,Resina High Index,1.67,4189.0,"Crizal Easy Pro=4809.0, Optifog=4809.0, Trio Easy Clean=4539.0, Verniz Hc=4189.0",Pagina 17,0.86
VARILUX® COMFORT,Stylis 1.67 + Transitions Gen S,VARILUX® COMFORT DIGITAL Stylis 1.67 + Transitions Gen S,Resina High Index,1.67,5289.0,"Crizal Easy Pro=5909.0, Optifog=5909.0, Trio Easy Clean=5639.0, Verniz Hc=5289.0",Pagina 17,0.86
