ID_Item;ID_Venda_CSV;ID_Produto_CSV;Qtd;Valor;DIAGNOSTICO
2106;1385;1534;1;145,00;Venda Pai Nao Existe no Banco
2107;1386;6261;1;150,00;Venda Pai Nao Existe no Banco
2108;1388;1533;1;90,00;Venda Pai Nao Existe no Banco
2109;1389;1542;1;280,00;Venda Pai Nao Existe no Banco
2110;1390;930;1;500,00;Venda Pai Nao Existe no Banco
2113;1391;1542;1;245,00;Venda Pai Nao Existe no Banco
2114;1391;6856;1;190,00;Venda Pai Nao Existe no Banco
2116;1392;1554;0,5;80,00;Venda Pai Nao Existe no Banco
2117;1393;1542;1;260,00;Venda Pai Nao Existe no Banco
2119;1396;5051;1;160,00;Venda Pai Nao Existe no Banco
2120;1397;1542;1;225,00;Venda Pai Nao Existe no Banco
2121;1398;1534;1;160,00;Venda Pai Nao Existe no Banco
