ID_Venda;Num_Parcela;Valor_Parcela;Valor_Pago;Data_Venc;Data_Pgto;Recibo;TIPO_ERRO
5132;1;50,00;50,00;10/08/2020;02/08/2021;FALSO;Duplicata/Parcial
5132;2;140,00;140,00;10/08/2020;07/08/2020;FALSO;Original
5132;2;50,00;50,00;10/09/2020;02/09/2021;FALSO;Duplicata/Parcial
5094;1;130,00;130,00;15/07/2020;05/08/2020;FALSO;Original
5094;1;130,00;130,00;15/02/2021;08/02/2021;FALSO;Duplicata/Parcial
5094;1;200,00;200,00;15/07/2020;01/08/2022;FALSO;Duplicata/Parcial
5094;2;130,00;130,00;15/08/2020;15/09/2020;FALSO;Original
5094;2;130,00;130,00;15/03/2021;09/04/2021;FALSO;Duplicata/Parcial
5094;2;92,00;92,00;15/08/2020;12/09/2022;VERDADEIRO;Duplicata/Parcial
5094;3;130,00;130,00;15/09/2020;06/10/2020;FALSO;Original
5094;3;130,00;130,00;15/04/2021;09/04/2021;FALSO;Duplicata/Parcial
5094;3;100,00;100,00;15/08/2020;24/02/2023;FALSO;Duplicata/Parcial
5094;4;130,00;130,00;15/10/2020;06/11/2020;FALSO;Original
5094;4;130,00;130,00;15/05/2021;11/05/2021;FALSO;Duplicata/Parcial
5094;6;100,00;100,00;15/12/2020;05/01/2021;FALSO;Original
5094;6;200,00;200,00;15/06/2021;09/05/2022;FALSO;Duplicata/Parcial
5337;1;50,00;50,00;30/09/2020;04/09/2020;FALSO;Original
5337;1;50,00;50,00;30/09/2020;26/09/2020;FALSO;Duplicata/Parcial
5337;1;50,00;50,00;30/09/2020;28/10/2020;VERDADEIRO;Duplicata/Parcial
5337;1;50,00;50,00;30/11/2020;11/12/2020;FALSO;Duplicata/Parcial
5455;1;60,00;60,00;05/10/2020;08/10/2020;FALSO;Original
5455;1;40,00;0,00;05/10/2020;;FALSO;Duplicata/Parcial
5548;1;68,00;68,00;15/11/2020;16/11/2020;FALSO;Original
5548;1;68,00;68,00;15/04/2021;17/03/2021;FALSO;Duplicata/Parcial
5682;1;100,00;100,00;20/12/2020;06/02/2021;VERDADEIRO;Original
5682;1;100,00;100,00;20/03/2021;09/06/2021;FALSO;Duplicata/Parcial
5934;1;150,00;150,00;13/02/2021;08/02/2021;FALSO;Original
5934;1;70,00;70,00;13/02/2021;05/08/2021;FALSO;Duplicata/Parcial
5892;1;170,00;170,00;23/02/2021;02/07/2021;FALSO;Original
5892;1;170,00;0,00;23/02/2021;;FALSO;Duplicata/Parcial
5998;1;200,00;200,00;04/03/2021;11/03/2021;FALSO;Original
5998;1;50,00;50,00;04/04/2021;09/04/2021;FALSO;Duplicata/Parcial
6103;1;105,00;0,00;10/04/2021;;FALSO;Original
6103;1;105,00;0,00;10/04/2021;;FALSO;Duplicata/Parcial
6103;2;105,00;0,00;10/05/2021;;FALSO;Original
6103;2;105,00;0,00;10/05/2021;;FALSO;Duplicata/Parcial
6103;3;105,00;0,00;10/06/2021;;FALSO;Original
6103;3;105,00;0,00;10/06/2021;;FALSO;Duplicata/Parcial
6103;4;105,00;0,00;10/07/2021;;FALSO;Original
6103;4;105,00;0,00;10/07/2021;;FALSO;Duplicata/Parcial
6133;1;150,00;150,00;24/04/2021;28/04/2021;FALSO;Original
6133;1;90,00;90,00;24/10/2021;08/11/2021;FALSO;Duplicata/Parcial
6262;1;385,00;385,00;15/06/2021;09/06/2021;FALSO;Original
6262;1;210,00;210,00;10/06/2021;06/06/2022;FALSO;Duplicata/Parcial
6450;1;100,00;100,00;21/08/2021;04/09/2021;VERDADEIRO;Original
6450;1;50,00;0,00;21/08/2021;;FALSO;Duplicata/Parcial
7439;1;50,00;50,00;19/05/2022;13/05/2022;FALSO;Original
7439;1;20,00;20,00;24/06/2022;05/07/2022;FALSO;Duplicata/Parcial
7499;1;157,50;0,00;06/06/2022;;FALSO;Original
7499;1;157,50;0,00;06/06/2022;;FALSO;Duplicata/Parcial
7499;2;157,50;0,00;06/07/2022;;FALSO;Original
7499;2;157,50;0,00;06/07/2022;;FALSO;Duplicata/Parcial
7499;3;157,50;0,00;06/08/2022;;FALSO;Original
7499;3;157,50;0,00;06/08/2022;;FALSO;Duplicata/Parcial
7499;4;157,50;0,00;06/09/2022;;FALSO;Original
7499;4;157,50;0,00;06/09/2022;;FALSO;Duplicata/Parcial
7582;1;100,00;100,00;03/07/2022;08/06/2022;VERDADEIRO;Original
7582;1;60,00;60,00;03/07/2022;08/11/2022;FALSO;Duplicata/Parcial
7582;1;50,00;50,00;03/07/2022;28/12/2022;FALSO;Duplicata/Parcial
7582;4;50,00;50,00;03/10/2022;13/10/2022;FALSO;Original
7582;4;50,00;50,00;03/10/2022;07/12/2022;FALSO;Duplicata/Parcial
7660;1;936,00;936,00;22/07/2022;25/07/2022;FALSO;Original
7660;1;936,00;936,00;22/07/2022;31/03/2023;FALSO;Duplicata/Parcial
7904;1;200,00;200,00;10/10/2022;23/09/2022;VERDADEIRO;Original
7904;1;50,00;50,00;10/10/2022;05/06/2023;FALSO;Duplicata/Parcial
8042;1;70,00;70,00;14/11/2022;16/11/2022;FALSO;Original
8042;1;70,00;70,00;14/11/2022;21/11/2022;FALSO;Duplicata/Parcial
8189;1;190,00;190,00;10/01/2023;13/01/2023;FALSO;Original
8189;1;100,00;100,00;10/06/2023;13/07/2023;FALSO;Duplicata/Parcial
8352;1;100,00;100,00;10/02/2023;06/01/2023;VERDADEIRO;Original
8352;1;50,00;50,00;10/02/2023;13/07/2023;FALSO;Duplicata/Parcial
8352;2;50,00;50,00;10/03/2023;07/02/2023;FALSO;Original
8352;2;50,00;50,00;10/03/2023;07/08/2023;FALSO;Duplicata/Parcial
8352;3;100,00;100,00;10/04/2023;07/03/2023;FALSO;Original
8352;3;100,00;100,00;10/04/2023;09/02/2024;FALSO;Duplicata/Parcial
8352;4;100,00;100,00;10/05/2023;08/05/2023;FALSO;Original
8352;4;0,00;0,00;10/05/2023;;FALSO;Duplicata/Parcial
8476;1;200,00;200,00;28/02/2023;24/02/2023;FALSO;Original
8476;1;130,00;130,00;28/03/2023;27/04/2023;FALSO;Duplicata/Parcial
8486;1;100,00;100,00;10/03/2023;09/03/2023;FALSO;Original
8486;1;200,00;200,00;10/03/2023;10/04/2023;FALSO;Duplicata/Parcial
8486;2;80,00;80,00;10/04/2023;27/03/2023;FALSO;Original
8486;2;140,00;140,00;10/04/2023;26/04/2023;FALSO;Duplicata/Parcial
8560;1;300,00;300,00;08/04/2023;29/06/2023;FALSO;Original
8560;1;385,00;0,00;08/04/2023;;FALSO;Duplicata/Parcial
8616;1;120,00;120,00;21/04/2023;31/03/2023;FALSO;Original
8616;1;502,00;502,00;21/04/2023;08/03/2024;FALSO;Duplicata/Parcial
8616;1;0,00;0,00;21/02/2024;;FALSO;Duplicata/Parcial
8930;1;300,00;300,00;17/07/2023;27/06/2023;FALSO;Original
8930;1;300,00;300,00;17/07/2023;22/08/2023;FALSO;Duplicata/Parcial
8930;1;300,00;300,00;17/08/2023;18/09/2023;FALSO;Duplicata/Parcial
9031;1;190,00;190,00;14/08/2023;06/09/2023;FALSO;Original
9031;1;60,00;60,00;14/08/2023;17/10/2023;FALSO;Duplicata/Parcial
9119;1;100,00;100,00;09/09/2023;05/09/2023;FALSO;Original
9119;1;100,00;100,00;09/09/2023;07/12/2023;FALSO;Duplicata/Parcial
9405;1;160,00;160,00;05/12/2023;05/12/2023;FALSO;Original
9405;1;100,00;100,00;05/01/2024;08/01/2024;FALSO;Duplicata/Parcial
9536;1;60,00;60,00;30/01/2024;31/01/2024;FALSO;Original
9536;1;130,00;130,00;29/02/2024;01/02/2024;FALSO;Duplicata/Parcial
9270;0;100,00;100,00;06/04/2024;05/04/2024;FALSO;Original
9270;0;100,00;100,00;06/05/2024;04/05/2024;FALSO;Duplicata/Parcial
9270;0;80,00;80,00;06/06/2024;05/06/2024;FALSO;Duplicata/Parcial
9270;0;50,00;50,00;06/07/2024;05/07/2024;FALSO;Duplicata/Parcial
9270;0;50,00;50,00;06/08/2024;05/08/2024;FALSO;Duplicata/Parcial
9919;1;200,00;200,00;04/05/2024;04/11/2024;FALSO;Original
9919;1;80,00;80,00;09/11/2024;17/12/2024;FALSO;Duplicata/Parcial
10588;1;480,00;480,00;16/01/2025;16/01/2025;FALSO;Original
10588;1;100,00;100,00;31/01/2025;10/03/2025;FALSO;Duplicata/Parcial
10588;1;100,00;100,00;10/04/2025;09/04/2025;FALSO;Duplicata/Parcial
10588;1;100,00;100,00;10/05/2025;08/05/2025;FALSO;Duplicata/Parcial
10588;1;100,00;100,00;10/06/2025;13/06/2025;FALSO;Duplicata/Parcial
10646;1;200,00;200,00;06/01/2025;10/02/2025;FALSO;Original
10646;1;200,00;0,00;06/01/2025;;FALSO;Duplicata/Parcial
