Código;Lk_venda;Lk_produto;Qtd;Valor vendido;Custo;Valor normal
13505;9024;1542;1;290,00;0,00;
13506;9024;8552;1;160,00;0,00;
13507;9026;1542;1;350,00;0,00;
13508;9026;1401;1;99,00;0,00;
13509;9027;1401;1;90,00;0,00;
13511;9029;8552;1;151,00;0,00;
13512;9030;7953;1;200,00;0,00;
13514;9029;1326;1;49,00;0,00;
13515;9030;8854;1;690,00;0,00;
13516;9031;7953;1;250,00;0,00;
13517;9032;1534;1;160,00;0,00;
13518;9032;6292;1;100,00;0,00;
13519;9034;7821;1;350,00;0,00;
13520;9035;1542;1;290,00;0,00;
13521;9036;1534;1;160,00;0,00;
13522;9036;7821;1;260,00;0,00;
13523;9038;7972;1;140,00;0,00;
13524;9039;7821;1;260,00;0,00;
13525;9040;7810;1;140,00;0,00;
13526;9042;1534;1;140,00;0,00;
13527;9043;1534;2;320,00;0,00;
13528;9043;6292;1;90,00;0,00;
13529;9043;1326;1;90,00;0,00;
13530;8357;1554;1;100,00;0,00;
13531;8357;1410;1;100,00;0,00;
13532;9045;1326;1;100,00;0,00;
13533;9046;1542;1;290,00;0,00;
13534;9047;8855;1;980,00;0,00;
13535;9047;1994;1;1.144,00;0,00;
13536;9048;7821;1;260,00;0,00;
13537;9048;7953;1;240,00;0,00;
13538;9049;1542;1;290,00;0,00;
13539;9049;7821;1;260,00;0,00;
13540;9050;7953;1;250,00;0,00;
13542;9051;1760;1;360,00;0,00;
13543;9051;8355;1;300,00;0,00;
13544;9050;8856;1;570,00;0,00;
13545;9052;7821;1;200,00;0,00;
13546;9053;8552;1;170,00;0,00;
13547;9054;7628;1;190,00;0,00;
13548;9056;8310;1;520,00;0,00;
13549;9056;8552;1;160,00;0,00;
13550;9058;2403;1;280,00;0,00;
13551;9059;1534;1;160,00;0,00;
13552;9060;1534;1;160,00;0,00;
13553;9060;6292;1;100,00;0,00;
13554;9061;1552;1;290,00;0,00;
13555;9061;8552;1;100,00;0,00;
13556;9062;8273;1;750,00;0,00;
13557;9062;7821;1;290,00;0,00;
13560;9063;1534;1;160,00;0,00;
13562;9063;8479;1;390,00;0,00;
13563;9064;1760;1;430,00;0,00;
13564;9066;7953;1;230,00;0,00;
13565;9066;7821;1;250,00;0,00;
13566;9067;8733;1;570,00;0,00;
13567;9068;5627;1;690,00;0,00;
13568;9068;1542;1;-290,00;0,00;
13569;9070;8102;1;598,00;0,00;
13570;9072;1534;1;160,00;0,00;
13571;9072;8552;1;190,00;0,00;
13572;9073;1534;1;160,00;0,00;
13573;9074;8046;1;450,00;0,00;
13575;9076;5627;1;640,00;0,00;
13576;9077;7740;1;250,00;0,00;
13577;9077;1542;1;300,00;0,00;
13579;9079;8859;1;930,00;0,00;
13580;9080;7953;1;200,00;0,00;
13581;9080;8321;1;1.600,00;0,00;
13582;9079;5451;1;50,00;0,00;
13583;9081;1542;1;300,00;0,00;
13584;9081;7821;1;250,00;0,00;
13585;9082;7953;1;230,00;0,00;
13586;9082;7821;1;250,00;0,00;
13587;9083;1542;1;261,00;0,00;
13589;9085;1037;1;49,00;0,00;
13590;9086;1721;1;750,00;0,00;
13591;9086;7628;1;220,00;0,00;
13592;9083;8860;1;855,00;0,00;
13593;9087;1542;1;130,00;0,00;
13594;9088;8273;1;850,00;0,00;
13595;9089;1534;1;165,00;0,00;
13596;9090;7987;1;530,00;0,00;
13597;9090;7953;1;250,00;0,00;
13599;9091;8631;1;400,00;0,00;
13602;9092;8861;1;890,00;0,00;
13604;9092;8862;1;1.470,00;0,00;
13605;9093;1554;1;300,00;0,00;
13607;9095;1534;1;160,00;0,00;
13608;9096;1534;1;160,00;0,00;
13609;9096;8552;1;130,00;0,00;
13610;9097;7441;1;490,00;0,00;
13612;9098;8706;1;2.948,00;0,00;
13613;9100;8552;1;100,00;0,00;
13614;9100;1534;1;150,00;0,00;
13615;9101;1721;1;330,00;0,00;
13617;9101;8863;1;50,00;0,00;
13619;9103;1349;1;100,00;0,00;
13620;9103;1534;1;160,00;0,00;
13621;9104;7953;1;250,00;0,00;
13623;9104;8864;1;590,00;0,00;
13624;9105;7442;1;450,00;0,00;
13625;9106;7953;1;250,00;0,00;
13626;9106;8355;1;390,00;0,00;
13629;9108;1534;1;190,00;0,00;
13630;9108;8552;1;100,00;0,00;
13631;9109;1769;1;1.021,00;0,00;
13632;9109;8355;1;379,00;0,00;
13633;9111;1534;2;280,00;0,00;
13634;9111;8552;1;170,00;0,00;
13635;9111;6292;1;100,00;0,00;
13636;9112;5627;1;650,00;0,00;
13637;9112;8355;1;390,00;0,00;
13638;9113;7953;1;250,00;0,00;
13639;9113;8355;1;390,00;0,00;
13640;9114;7821;1;240,00;0,00;
13641;9114;7953;1;250,00;0,00;
13642;9115;8833;1;570,00;0,00;
13643;9116;1752;1;480,00;0,00;
13644;9117;1401;1;230,00;0,00;
13645;9118;7385;2;20,00;0,00;
13646;9119;1542;1;350,00;0,00;
13647;9090;8865;1;690,00;0,00;
13651;9120;377;1;500,00;0,00;
13652;9120;1534;1;400,00;0,00;
13653;9121;7953;1;250,00;0,00;
13654;9122;2287;1;20,00;0,00;
13655;9123;1534;1;160,00;0,00;
13656;9123;6595;1;280,00;0,00;
13657;9124;7953;1;250,00;0,00;
13658;9125;7821;1;220,00;0,00;
13659;9127;8573;1;280,00;0,00;
13660;9128;1534;1;136,00;0,00;
13661;9128;3448;1;260,00;0,00;
13662;9129;1534;0,5;80,00;0,00;
13663;9130;1534;1;140,00;0,00;
13664;9131;7953;1;250,00;0,00;
13665;9131;8355;1;390,00;0,00;
13666;9132;8679;1;1.200,00;0,00;
13667;9132;7999;1;550,00;0,00;
13669;9133;1540;1;45,00;0,00;
13670;9134;1534;1;160,00;0,00;
13671;9134;6292;1;100,00;0,00;
13672;9135;1542;1;350,00;0,00;
13673;9136;1542;1;350,00;0,00;
13674;9136;8355;1;390,00;0,00;
13675;9137;1540;1;20,00;0,00;
13676;9138;1534;1;160,00;0,00;
13677;9139;8707;1;1.100,00;0,00;
13679;9139;8543;1;290,00;0,00;
13680;9139;1542;1;260,00;0,00;
13681;9140;7953;1;250,00;0,00;
13682;9140;7821;1;280,00;0,00;
13683;9141;8573;1;260,00;0,00;
13684;9142;1283;1;790,00;0,00;
13685;9142;8841;1;790,00;0,00;
13686;9143;8867;1;790,00;0,00;
13687;9146;1534;1;150,00;0,00;
13688;9146;8552;1;140,00;0,00;
13689;9147;8573;1;145,00;0,00;
13690;9148;1401;1;90,00;0,00;
13692;9149;7821;1;240,00;0,00;
13693;9149;7953;1;230,00;0,00;
13694;9150;7953;1;250,00;0,00;
13695;9150;1401;2;180,00;0,00;
13696;9150;7810;1;150,00;0,00;
13697;9152;8552;1;100,00;0,00;
13698;9154;8102;1;598,00;0,00;
13699;9154;8552;1;160,00;0,00;
13701;9155;8868;1;1.726,00;0,00;
13703;9155;8869;1;390,00;0,00;
13704;9157;1542;0,5;175,00;0,00;
13705;9157;1533;0,5;85,00;0,00;
13706;9158;6292;1;90,00;0,00;
13707;9159;6292;1;100,00;0,00;
13708;9160;7953;1;250,00;0,00;
13710;9160;8870;1;980,00;0,00;
13711;9161;5627;1;1.200,00;0,00;
13712;9162;1401;1;90,00;0,00;
13713;9163;1534;1;160,00;0,00;
13714;9163;1401;1;90,00;0,00;
13715;9164;1542;1;260,00;0,00;
13716;9165;1542;1;350,00;0,00;
13717;9165;6292;1;100,00;0,00;
13720;9167;1534;0,5;70,00;0,00;
13721;9168;1542;1;350,00;0,00;
13722;9168;1349;1;190,00;0,00;
13723;9169;6292;1;100,00;0,00;
13724;9170;2403;2;760,00;0,00;
13725;9171;1534;1;250,00;0,00;
13726;9171;8029;1;350,00;0,00;
13727;9173;1542;1;280,00;0,00;
13728;9175;7953;1;250,00;0,00;
13729;9175;7821;1;260,00;0,00;
13731;9176;8871;1;660,00;0,00;
13732;9176;1542;1;290,00;0,00;
13733;9177;4229;1;150,00;0,00;
13734;9178;1534;1;160,00;0,00;
13735;9179;1534;1;160,00;0,00;
13736;9180;1721;1;590,00;0,00;
13738;9180;8872;1;990,00;0,00;
13739;9181;7953;1;250,00;0,00;
13740;9182;1760;1;450,00;0,00;
13741;9182;7628;1;250,00;0,00;
13742;9183;7953;1;250,00;0,00;
13744;9183;1534;1;160,00;0,00;
13745;9184;7953;1;250,00;0,00;
13746;9185;8668;1;25,00;0,00;
13747;9186;7953;1;250,00;0,00;
13748;9186;8552;1;100,00;0,00;
13749;9187;1542;1;350,00;0,00;
13750;9187;8339;1;650,00;0,00;
13751;9188;2287;1;10,00;0,00;
13752;9189;1534;1;220,00;0,00;
13753;9190;1552;1;170,00;0,00;
13754;9191;4412;1;150,00;0,00;
13755;9192;8102;1;300,00;0,00;
13756;9193;1721;1;600,00;0,00;
13757;9194;7821;1;280,00;0,00;
13758;9195;7628;1;160,00;0,00;
13759;9132;5451;1;250,00;0,00;
13760;9196;7953;1;250,00;0,00;
13761;9196;8552;1;100,00;0,00;
13762;9198;7810;1;160,00;0,00;
13763;9200;1349;1;100,00;0,00;
13766;9201;7953;1;390,00;0,00;
13767;9202;8707;1;1.360,00;0,00;
13768;9203;7953;1;250,00;0,00;
13769;9203;8355;1;390,00;0,00;
13770;9094;1542;1;200,00;0,00;
13771;9204;1534;1;160,00;0,00;
13772;9206;7953;1;250,00;0,00;
13773;9206;8355;1;390,00;0,00;
13774;9207;1534;1;144,00;0,00;
13775;9207;8552;1;153,00;0,00;
13776;9208;1760;1;690,00;0,00;
13778;9209;7821;1;280,00;0,00;
13779;9209;8593;1;1.050,00;0,00;
13780;9210;1542;1;250,00;0,00;
13781;9210;8552;1;100,00;0,00;
13782;9211;8552;1;150,00;0,00;
13783;9212;1542;1;410,00;0,00;
13784;9212;8193;1;190,00;0,00;
13786;9213;7204;1;250,00;0,00;
13787;9214;7953;1;250,00;0,00;
13788;9214;7821;1;220,00;0,00;
13789;9215;1534;1;160,00;0,00;
13790;9215;8552;1;100,00;0,00;
13792;9216;3022;1;1.698,00;0,00;
13793;9216;8856;1;690,00;0,00;
13794;9216;7628;1;100,00;0,00;
13795;9217;8552;1;100,00;0,00;
13796;9218;8273;1;650,00;0,00;
13797;9220;1531;1;160,00;0,00;
13798;9221;8707;1;1.050,00;0,00;
13799;9222;8552;1;190,00;0,00;
13800;9224;7821;1;190,00;0,00;
13801;9226;7953;1;250,00;0,00;
13802;9227;7953;1;250,00;0,00;
13803;9228;7628;1;170,00;0,00;
13804;9229;8679;1;1.570,00;0,00;
13805;9230;2403;1;380,00;0,00;
