Código;Lk_Vendas;Data_Venc;Valor_Parcela;Data_Pgto;Valor_Pago;Número_parcela1;Número_parcela2;cartão;che pré;dinheiro;Requisição;multa;juros;comissão;recibo
22879;6838;10/11/2021;80,00;06/11/2021;80,00;1;6;0,00;0,00;80,00;0,00;0,00;0,00;0,00;FALSO
22880;6838;10/12/2021;80,00;09/12/2021;80,00;2;6;0,00;0,00;80,00;0,00;0,00;0,00;0,00;FALSO
22881;6838;10/01/2022;80,00;10/01/2022;80,00;3;6;0,00;0,00;80,00;0,00;0,00;0,00;0,00;FALSO
22882;6838;10/02/2022;80,00;08/03/2022;80,00;4;6;0,00;0,00;80,00;0,00;0,00;0,00;0,00;FALSO
22883;6838;10/03/2022;80,00;08/03/2022;80,00;5;6;0,00;0,00;80,00;0,00;0,00;0,00;0,00;FALSO
22884;6838;10/04/2022;80,00;13/04/2022;80,00;6;6;0,00;0,00;80,00;0,00;0,00;0,00;0,00;FALSO
22885;6839;29/11/2021;54,00;08/12/2021;54,00;1;6;0,00;0,00;54,00;0,00;0,00;0,00;0,00;FALSO
22886;6839;29/12/2021;54,00;08/02/2022;54,00;2;6;54,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22887;6839;29/01/2022;53,00;08/02/2022;53,00;3;6;53,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22888;6839;28/02/2022;53,00;05/04/2022;53,00;4;6;0,00;0,00;53,00;0,00;0,00;0,00;0,00;FALSO
22889;6839;28/03/2022;53,00;05/04/2022;53,00;5;6;0,00;0,00;53,00;0,00;0,00;0,00;0,00;FALSO
22890;6839;28/04/2022;53,00;07/06/2022;53,00;6;6;0,00;0,00;53,00;0,00;0,00;0,00;0,00;FALSO
22891;6848;22/11/2021;88,00;19/11/2021;88,00;1;5;0,00;0,00;88,00;0,00;0,00;0,00;0,00;FALSO
22892;6848;22/12/2021;88,00;20/12/2021;88,00;2;5;0,00;0,00;88,00;0,00;0,00;0,00;0,00;FALSO
22893;6848;22/01/2022;88,00;25/01/2022;88,00;3;5;0,00;0,00;88,00;0,00;0,00;0,00;0,00;FALSO
22894;6848;22/02/2022;88,00;23/02/2022;88,00;4;5;0,00;0,00;88,00;0,00;0,00;0,00;0,00;FALSO
22895;6848;22/03/2022;88,00;21/03/2022;88,00;5;5;0,00;0,00;88,00;0,00;0,00;0,00;0,00;FALSO
22896;6853;23/11/2021;368,00;19/11/2021;368,00;1;5;0,00;0,00;368,00;0,00;0,00;0,00;0,00;FALSO
22897;6853;23/12/2021;368,00;20/12/2021;368,00;2;5;0,00;0,00;368,00;0,00;0,00;0,00;0,00;FALSO
22898;6853;23/01/2022;368,00;21/01/2022;368,00;3;5;0,00;0,00;368,00;0,00;0,00;0,00;0,00;FALSO
22899;6853;23/02/2022;368,00;19/02/2022;368,00;4;5;0,00;0,00;368,00;0,00;0,00;0,00;0,00;FALSO
22900;6853;23/03/2022;368,00;01/04/2022;368,00;5;5;0,00;0,00;368,00;0,00;0,00;0,00;0,00;FALSO
22901;6854;29/10/2021;140,00;25/10/2021;140,00;1;1;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22902;6859;30/11/2021;230,00;29/11/2021;230,00;1;6;0,00;0,00;230,00;0,00;0,00;0,00;0,00;FALSO
22903;6859;30/12/2021;230,00;29/12/2021;230,00;2;6;0,00;0,00;230,00;0,00;0,00;0,00;0,00;FALSO
22904;6859;30/01/2022;230,00;31/01/2022;230,00;3;6;0,00;0,00;230,00;0,00;0,00;0,00;0,00;FALSO
22905;6859;28/02/2022;230,00;03/03/2022;230,00;4;6;0,00;0,00;230,00;0,00;0,00;0,00;0,00;FALSO
22906;6859;28/03/2022;230,00;30/03/2022;230,00;5;6;0,00;0,00;230,00;0,00;0,00;0,00;0,00;FALSO
22907;6859;28/04/2022;230,00;29/04/2022;230,00;6;6;0,00;0,00;230,00;0,00;0,00;0,00;0,00;FALSO
22908;6855;26/11/2021;44,00;03/12/2021;44,00;1;4;0,00;0,00;44,00;0,00;0,00;0,00;0,00;FALSO
22909;6855;26/12/2021;45,00;06/01/2022;45,00;2;4;0,00;0,00;45,00;0,00;0,00;0,00;0,00;FALSO
22910;6855;26/01/2022;40,00;16/02/2022;40,00;3;4;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22911;6855;26/02/2022;41,00;16/02/2022;41,00;4;4;0,00;0,00;41,00;0,00;0,00;0,00;0,00;FALSO
22912;6870;27/11/2021;45,00;29/11/2021;45,00;1;6;0,00;0,00;45,00;0,00;0,00;0,00;0,00;FALSO
22913;6870;27/12/2021;43,00;16/12/2021;43,00;2;6;0,00;0,00;43,00;0,00;0,00;0,00;0,00;FALSO
22914;6870;27/01/2022;43,00;31/01/2022;43,00;3;6;43,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22915;6870;27/02/2022;129,00;21/03/2022;129,00;4;6;0,00;0,00;129,00;0,00;0,00;0,00;0,00;FALSO
22916;6870;27/03/2022;0,00;;0,00;5;6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22917;6870;27/04/2022;0,00;;0,00;6;6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22923;6871;05/11/2021;58,00;09/11/2021;58,00;1;5;0,00;0,00;58,00;0,00;0,00;0,00;0,00;FALSO
22924;6871;05/12/2021;58,00;08/12/2021;58,00;2;5;0,00;0,00;58,00;0,00;0,00;0,00;0,00;FALSO
22925;6871;05/01/2022;60,00;15/03/2023;60,00;3;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
22926;6871;05/02/2022;60,00;10/04/2023;60,00;4;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
22927;6871;05/03/2022;60,00;03/06/2023;60,00;5;5;0,00;0,00;60,00;0,00;0,00;0,00;0,00;FALSO
22928;6867;28/11/2021;160,00;28/04/2022;160,00;1;2;0,00;0,00;160,00;0,00;0,00;0,00;0,00;FALSO
22930;6858;28/11/2021;110,00;22/11/2021;110,00;1;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22931;6858;28/12/2021;110,00;22/12/2021;110,00;2;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22932;6858;28/01/2022;110,00;10/01/2022;110,00;3;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22933;6858;28/02/2022;110,00;15/02/2022;110,00;4;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22934;6858;28/03/2022;110,00;29/03/2022;110,00;5;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22935;6858;28/04/2022;110,00;02/05/2022;110,00;6;6;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22936;6873;29/11/2021;68,00;24/11/2021;68,00;1;5;0,00;0,00;68,00;0,00;0,00;0,00;0,00;FALSO
22937;6873;29/12/2021;68,00;12/01/2022;68,00;2;5;0,00;0,00;68,00;0,00;0,00;0,00;0,00;FALSO
22938;6873;29/01/2022;68,00;12/01/2022;68,00;3;5;0,00;0,00;68,00;0,00;0,00;0,00;0,00;FALSO
22939;6873;28/02/2022;68,00;21/02/2022;68,00;4;5;0,00;0,00;68,00;0,00;0,00;0,00;0,00;FALSO
22940;6873;28/03/2022;68,00;01/04/2022;68,00;5;5;0,00;0,00;68,00;0,00;0,00;0,00;0,00;FALSO
22941;6877;20/11/2021;40,00;13/12/2021;40,00;1;4;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22942;6877;20/12/2021;40,00;18/02/2022;40,00;2;4;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22943;6877;20/01/2022;40,00;18/02/2022;40,00;3;4;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22944;6877;20/02/2022;40,00;18/05/2022;40,00;4;4;0,00;0,00;40,00;0,00;0,00;0,00;0,00;FALSO
22945;6880;01/12/2021;140,00;02/12/2021;140,00;1;9;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22946;6880;01/01/2022;140,00;31/12/2021;140,00;2;9;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22947;6880;01/02/2022;140,00;04/02/2022;140,00;3;9;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22948;6880;01/03/2022;140,00;02/03/2022;140,00;4;9;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22949;6880;01/04/2022;140,00;04/04/2022;140,00;5;9;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22950;6880;01/05/2022;140,00;30/04/2022;140,00;6;9;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22951;6880;01/06/2022;140,00;10/06/2022;140,00;7;9;0,00;0,00;140,00;0,00;0,00;0,00;0,00;FALSO
22952;6880;01/07/2022;140,00;11/07/2022;140,00;8;9;140,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22953;6880;01/08/2022;140,00;11/07/2022;140,00;9;9;140,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22954;6887;02/01/2022;110,00;30/12/2021;110,00;1;7;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22955;6887;02/02/2022;105,00;31/01/2022;105,00;2;7;0,00;0,00;105,00;0,00;0,00;0,00;0,00;FALSO
22956;6887;02/03/2022;105,00;03/03/2022;105,00;3;7;0,00;0,00;105,00;0,00;0,00;0,00;0,00;FALSO
22957;6887;02/04/2022;105,00;04/04/2022;105,00;4;7;0,00;0,00;105,00;0,00;0,00;0,00;0,00;FALSO
22958;6887;02/05/2022;105,00;05/05/2022;105,00;5;7;0,00;0,00;105,00;0,00;0,00;0,00;0,00;FALSO
22959;6887;02/06/2022;105,00;04/06/2022;105,00;6;7;0,00;0,00;105,00;0,00;0,00;0,00;0,00;FALSO
22960;6887;02/07/2022;105,00;13/07/2022;105,00;7;7;0,00;0,00;105,00;0,00;0,00;0,00;0,00;FALSO
22961;6841;10/12/2021;166,00;06/12/2021;166,00;1;6;166,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22962;6841;10/01/2022;166,00;07/01/2022;166,00;2;6;166,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22963;6841;10/02/2022;165,00;12/02/2022;165,00;3;6;0,00;0,00;165,00;0,00;0,00;0,00;0,00;FALSO
22964;6841;10/03/2022;165,00;11/03/2022;165,00;4;6;0,00;0,00;165,00;0,00;0,00;0,00;0,00;FALSO
22965;6841;10/04/2022;165,00;11/04/2022;165,00;5;6;165,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22966;6841;10/05/2022;165,00;11/05/2022;165,00;6;6;165,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22967;6883;25/11/2021;94,00;25/11/2021;94,00;1;5;0,00;0,00;94,00;0,00;0,00;0,00;0,00;FALSO
22968;6883;25/12/2021;94,00;;0,00;2;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22969;6883;25/01/2022;94,00;;0,00;3;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22970;6883;25/02/2022;94,00;;0,00;4;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
